instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0079,﻿station,[Unnamed Institution],English,,,,,,﻿Vicksburg,,﻿MS,,﻿#REF!,﻿#REF!,,,,﻿#REF!,,,,,,,,,,1840,,,﻿,﻿,﻿Natchez,Natchez
